timestamp,can_id,message_count,steering_angle_deg,steering_speed,steering_status,msg_count,checksum,raw_data_hex
1755699457.570581,688,81,-186.8,0.0,7,8,7,B4F8000778
1755699457.580562,688,82,-186.8,0.0,7,9,6,B4F8000769
1755699457.590576,688,83,-186.8,0.0,7,10,5,B4F800075A
1755699457.600544,688,84,-186.8,0.0,7,11,4,B4F800074B
1755699457.610577,688,85,-186.70000000000002,0.0,7,12,2,B5F800072C
1755699457.620554,688,86,-186.8,0.0,7,13,2,B4F800072D
1755699457.630866,688,87,-186.8,0.0,7,14,1,B4F800071E
1755699457.640553,688,88,-186.8,0.0,7,15,0,B4F800070F
1755699457.650597,688,89,-186.8,0.0,7,0,15,B4F80007F0
1755699457.660554,688,90,-186.8,0.0,7,1,14,B4F80007E1
1755699457.670672,688,91,-186.8,0.0,7,2,13,B4F80007D2
