Steering System Monitor Log
Started: 2025-08-20T15:17:36.768104
Interface: can3
================================================================================

[2025-08-20T15:17:37.450702] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.451181] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.460687] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:37.470711] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.471201] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.480676] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.490729] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.491204] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.500687] Angle correlation error: SAS=-187.0, MDPS=0.0
[2025-08-20T15:17:37.510708] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.511215] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.520689] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.530702] Angle correlation error: SAS=-187.0, MDPS=0.0
[2025-08-20T15:17:37.531187] Angle correlation error: SAS=-187.0, MDPS=0.0
[2025-08-20T15:17:37.540684] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.550721] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.551232] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.560693] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.570720] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.571215] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.580701] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.590713] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.591202] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.600683] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.610725] Angle correlation error: SAS=-186.7, MDPS=0.0
[2025-08-20T15:17:37.611198] Angle correlation error: SAS=-186.7, MDPS=0.0
[2025-08-20T15:17:37.620692] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.631036] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.631462] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.640689] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.650734] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.651219] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.660692] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.670816] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.671300] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.680678] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.690670] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.691164] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.700679] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.710671] Angle correlation error: SAS=-186.7, MDPS=0.0
[2025-08-20T15:17:37.711144] Angle correlation error: SAS=-186.7, MDPS=0.0
[2025-08-20T15:17:37.720664] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.730663] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.731157] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.740642] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.750656] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.751147] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.760642] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.770640] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.771155] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.780650] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.790636] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.791137] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.800635] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.810670] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.811144] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.820633] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.830641] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.831151] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.840673] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.850677] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.851172] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.860684] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.870702] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.871201] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.880707] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:37.890733] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.891231] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.900690] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:37.910718] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.911221] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.920690] Angle correlation error: SAS=-187.0, MDPS=0.0
[2025-08-20T15:17:37.930710] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.931206] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.940692] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:37.950735] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.951231] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.960698] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.970748] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.971242] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.980592] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.990615] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.991115] Angle correlation error: SAS=-186.8, MDPS=0.0
