timestamp,can_id,message_count,longitudinal_accel_g,longitudinal_accel_status,imu_reset_status,temperature_c,temperature_status,yrs_type,msg_count,crc,raw_data_hex
1755699660.176229,320,2518,-0.018737354999999845,0,0,42,0,2,9,26,6D7F006E2000091A
1755699660.186244,320,2519,-0.02370848999999975,0,0,42,0,2,10,103,467F006E20000A67
1755699660.196229,320,2520,-0.019502144999999693,0,0,42,0,2,11,72,677F006E20000B48
1755699660.206285,320,2521,-0.012746500000000438,0,0,42,0,2,12,135,9C7F006E20000C87
1755699660.216229,320,2522,-0.010961990000000199,0,0,42,0,2,13,159,AA7F006E20000D9F
1755699660.226218,320,2523,-0.014148614999999864,0,0,42,0,2,14,91,917F006E20000E5B
1755699660.236218,320,2524,-0.01937468000000031,0,0,42,0,2,15,96,687F006E20000F60
1755699660.246228,320,2525,-0.017717635000000342,0,0,42,0,2,0,132,757F006E20000084
1755699660.256217,320,2526,-0.010961990000000199,0,0,42,0,2,1,3,AA7F006E20000103
1755699660.266298,320,2527,-0.009559874999999884,0,0,42,0,2,2,193,B57F006E200002C1
1755699660.276217,320,2528,-0.013893685000000211,0,0,42,0,2,3,96,937F006E20000360
1755699660.286226,320,2529,-0.017335240000000418,0,0,42,0,2,4,22,787F006E20000416
1755699660.296205,320,2530,-0.016188054999999757,0,0,42,0,2,5,45,817F006E2000052D
1755699660.306235,320,2531,-0.014913404999999713,0,0,42,0,2,6,98,8B7F006E20000662
1755699660.316209,320,2532,-0.016697914999999952,0,0,42,0,2,7,5,7D7F006E20000705
1755699660.326199,320,2533,-0.019884539999999618,0,0,42,0,2,8,136,647F006E20000888
1755699660.336218,320,2534,-0.020394399999999813,0,0,42,0,2,9,252,607F006E200009FC
1755699660.346222,320,2535,-0.01835495999999992,0,0,42,0,2,10,98,707F006E20000A62
1755699660.356244,320,2536,-0.01937468000000031,0,0,42,0,2,11,20,687F006E20000B14
1755699660.366311,320,2537,-0.023581025000000366,0,0,42,0,2,12,116,477F006E20000C74
1755699660.376276,320,2538,-0.026130324999999566,0,0,42,0,2,13,8,337F006E20000D08
1755699660.386295,320,2539,-0.025365534999999717,0,0,42,0,2,14,71,397F006E20000E47
1755699660.396311,320,2540,-0.026130324999999566,0,0,42,0,2,15,50,337F006E20000F32
1755699660.406536,320,2541,-0.030591600000000163,0,0,42,0,2,0,1,107F006E20000001
1755699660.416333,320,2542,-0.03135639000000001,0,0,42,0,2,1,205,0A7F006E200001CD
1755699660.426341,320,2543,-0.02918948499999985,0,0,42,0,2,2,14,1B7F006E2000020E
1755699660.43637,320,2544,-0.030081739999999968,0,0,42,0,2,3,79,147F006E2000034F
1755699660.446369,320,2545,-0.033523295000000175,0,0,42,0,2,4,172,F97E006E200004AC
1755699660.456392,320,2546,-0.03658245499999957,0,0,42,0,2,5,218,E17E006E200005DA
1755699660.466342,320,2547,-0.036327524999999916,0,0,42,0,2,6,71,E37E006E20000647
1755699660.476174,320,2548,-0.03479794500000022,0,0,42,0,2,7,225,EF7E006E200007E1
1755699660.486183,320,2549,-0.03556273500000007,0,0,42,0,2,8,137,E97E006E20000889
1755699660.496174,320,2550,-0.03569020000000034,0,0,42,0,2,9,201,E87E006E200009C9
1755699660.50628,320,2551,-0.03212117999999986,0,0,42,0,2,10,3,047F006E20000A03
1755699660.516174,320,2552,-0.026385255000000107,0,0,42,0,2,11,252,317F006E20000BFC
1755699660.526174,320,2553,-0.02217891000000005,0,0,42,0,2,12,249,527F006E20000CF9
1755699660.536161,320,2554,-0.021796515000000127,0,0,42,0,2,13,106,557F006E20000D6A
