timestamp,distance_m,speed_mps,wheel_FL,wheel_FR,wheel_RL,wheel_RR,yaw_rate,lat_accel,long_accel
1761056529.522502,49.102387051615565,1.5104166666666665,5.34375,6.15625,5.03125,5.875,9.079999999999998,-0.09999999999999964,-0.009999999999999787
1761056529.542041,49.13181445561361,1.5147569444444444,5.375,6.125,5.03125,5.8125,8.75,-0.09999999999999964,0.0
1761056529.562095,49.162104145313414,1.5060763888888888,5.375,6.09375,5.0625,5.8125,8.29,-0.15000000000000036,0.0
1761056529.582085,49.192384087170275,1.5104166666666665,5.375,6.09375,5.125,5.78125,7.829999999999998,-0.16000000000000014,0.009999999999999787
1761056529.602141,49.22267701787264,1.5147569444444444,5.34375,6.0625,5.125,5.75,7.43,-0.14000000000000057,0.0
1761056529.622113,49.2531032425663,1.5104166666666665,5.3125,6.0,5.15625,5.8125,7.159999999999997,-0.10999999999999943,-0.02999999999999936
1761056529.642035,49.28345319194109,1.5234375,5.3125,6.03125,5.1875,5.78125,6.899999999999999,-0.02999999999999936,-0.08000000000000007
1761056529.662294,49.31431636524708,1.5234375,5.34375,6.0625,5.1875,5.78125,6.909999999999997,0.009999999999999787,-0.10999999999999943
1761056529.682066,49.344437851881096,1.5234375,5.34375,6.0625,5.1875,5.78125,6.890000000000001,0.08000000000000007,-0.09999999999999964
1761056529.70203,49.37485172723741,1.5234375,5.34375,6.0625,5.21875,5.75,7.089999999999996,0.09999999999999964,-0.0600000000000005
1761056529.722091,49.405500501808305,1.5234375,5.34375,6.0625,5.15625,5.84375,7.280000000000001,0.10999999999999943,-0.07000000000000028
1761056529.742115,49.43609281753511,1.5277777777777777,5.3125,6.0625,5.15625,5.84375,7.3799999999999955,0.129999999999999,-0.05000000000000071
1761056529.762021,49.46633203369059,1.5277777777777777,5.3125,6.0625,5.15625,5.78125,7.519999999999996,0.129999999999999,-0.07000000000000028
1761056529.782109,49.49693478126504,1.519097222222222,5.3125,6.09375,5.15625,5.8125,7.68,0.15000000000000036,-0.0600000000000005
1761056529.802164,49.52757444957076,1.5234375,5.3125,6.15625,5.1875,5.8125,7.75,0.1899999999999995,-0.120000000000001
1761056529.822105,49.55803964183574,1.5277777777777777,5.3125,6.15625,5.15625,5.84375,7.659999999999997,0.2699999999999996,-0.05000000000000071
1761056529.842082,49.58856020019298,1.5277777777777777,5.34375,6.0625,5.1875,5.8125,7.539999999999999,0.29999999999999893,0.0
1761056529.862068,49.61900749140327,1.5277777777777777,5.34375,6.03125,5.1875,5.78125,7.399999999999999,0.2599999999999998,0.0
1761056529.882081,49.649409326828305,1.5234375,5.3125,6.0,5.1875,5.75,7.159999999999997,0.2400000000000002,0.03999999999999915
1761056529.902068,49.679858070901815,1.519097222222222,5.34375,6.0,5.1875,5.78125,6.890000000000001,0.14000000000000057,-0.0600000000000005
1761056529.922073,49.7105080737837,1.5234375,5.375,6.0,5.1875,5.84375,6.649999999999999,0.11999999999999922,-0.05000000000000071
1761056529.94208,49.74116136423427,1.5321180555555556,5.375,6.03125,5.21875,5.8125,6.419999999999995,0.08000000000000007,-0.009999999999999787
1761056529.962081,49.77171834765221,1.5321180555555556,5.34375,6.0,5.21875,5.78125,6.199999999999996,0.019999999999999574,0.02999999999999936
1761056529.982127,49.802431179624584,1.5277777777777777,5.375,5.9375,5.21875,5.8125,6.189999999999998,0.049999999999998934,0.07000000000000028
1761056530.002164,49.832956199016955,1.5321180555555556,5.375,5.9375,5.1875,5.78125,6.159999999999997,0.03999999999999915,0.08999999999999986
1761056530.022149,49.86322891794985,1.5234375,5.375,6.03125,5.1875,5.71875,6.109999999999999,0.019999999999999574,0.009999999999999787
1761056530.042145,49.89386503998616,1.5147569444444444,5.375,6.0,5.25,5.78125,6.119999999999997,0.0,-0.07000000000000028
1761056530.062118,49.92429271754303,1.5321180555555556,5.40625,6.03125,5.21875,5.75,6.239999999999995,-0.040000000000000924,-0.05000000000000071
1761056530.082137,49.9545298309791,1.5234375,5.375,6.03125,5.1875,5.6875,6.299999999999997,-0.08999999999999986,-0.05000000000000071
1761056530.102085,49.984832790990794,1.5104166666666665,5.375,6.0,5.1875,5.75,6.359999999999999,-0.02999999999999936,-0.0600000000000005
1761056530.122477,50.01589863871547,1.519097222222222,5.375,6.0,5.1875,5.78125,6.329999999999998,-0.009999999999999787,0.009999999999999787
1761056530.142119,50.04573655832157,1.5234375,5.375,5.96875,5.15625,5.78125,6.309999999999995,0.0,-0.009999999999999787
1761056530.162053,50.07584547210083,1.519097222222222,5.40625,5.9375,5.15625,5.71875,6.239999999999995,0.019999999999999574,-0.07000000000000028
1761056530.182054,50.10631564590678,1.5104166666666665,5.40625,5.9375,5.21875,5.75,6.140000000000001,0.0600000000000005,-0.09999999999999964
1761056530.202039,50.13684822453405,1.5234375,5.34375,5.96875,5.25,5.75,5.919999999999995,0.08999999999999986,-0.14000000000000057
1761056530.222181,50.16753342209603,1.5277777777777777,5.34375,6.0,5.25,5.71875,5.689999999999998,0.07000000000000028,-0.019999999999999574
1761056530.242117,50.19790443798746,1.5234375,5.40625,5.96875,5.25,5.71875,5.469999999999999,0.0600000000000005,-0.009999999999999787
1761056530.262111,50.228537637740494,1.5234375,5.34375,5.9375,5.28125,5.75,5.299999999999997,0.02999999999999936,0.0
1761056530.282082,50.25913577009418,1.5321180555555556,5.3125,5.875,5.28125,5.75,5.159999999999997,0.019999999999999574,0.02999999999999936
1761056530.302061,50.28991938568664,1.5321180555555556,5.375,5.875,5.3125,5.78125,5.140000000000001,0.02999999999999936,0.0
1761056530.322115,50.320731311415756,1.5407986111111112,5.375,5.90625,5.3125,5.75,5.039999999999999,0.03999999999999915,0.009999999999999787
1761056530.342074,50.3514840691869,1.5364583333333333,5.375,5.96875,5.34375,5.75,5.009999999999998,0.009999999999999787,0.0
1761056530.362082,50.38231250209125,1.5407986111111112,5.40625,5.96875,5.34375,5.75,4.939999999999998,0.0,0.019999999999999574
1761056530.382096,50.41332385192327,1.5407986111111112,5.40625,5.875,5.375,5.78125,4.859999999999999,-0.02999999999999936,0.14000000000000057
1761056530.402127,50.44418755090911,1.5494791666666665,5.4375,5.84375,5.34375,5.75,4.75,-0.08999999999999986,0.129999999999999
1761056530.422103,50.474792988971,1.5407986111111112,5.46875,5.8125,5.28125,5.75,4.589999999999996,-0.10999999999999943,0.11999999999999922
1761056530.442127,50.505559124673525,1.5321180555555556,5.5,5.875,5.3125,5.75,4.43,-0.13000000000000078,-0.019999999999999574
1761056530.462064,50.53653768263769,1.5364583333333333,5.5,5.90625,5.4375,5.75,4.239999999999995,-0.14000000000000057,-0.14000000000000057
1761056530.48211,50.56820757169702,1.5538194444444444,5.5,5.90625,5.625,5.75,4.059999999999995,-0.14000000000000057,0.0
1761056530.502151,50.599521616887834,1.5798611111111112,5.53125,5.96875,5.53125,5.71875,4.0,-0.120000000000001,0.10999999999999943
1761056530.522104,50.630524995633415,1.5625,5.53125,5.90625,5.4375,5.75,3.8200000000000003,-0.009999999999999787,0.27999999999999936
1761056530.5421,50.66124790555085,1.5538194444444444,5.53125,5.875,5.40625,5.65625,3.710000000000001,0.019999999999999574,0.17999999999999972
1761056530.562102,50.69180671022182,1.5364583333333333,5.5625,5.90625,5.4375,5.5625,3.6699999999999946,0.0,0.07000000000000028
1761056530.582067,50.72239534515485,1.5277777777777777,5.5625,5.90625,5.40625,5.625,3.6000000000000014,0.08999999999999986,-0.0600000000000005
1761056530.602161,50.753181599494596,1.5321180555555556,5.5625,5.90625,5.375,5.65625,3.5,0.14000000000000057,-0.09999999999999964
1761056530.622062,50.7836723379378,1.5321180555555556,5.5625,5.90625,5.34375,5.6875,3.3699999999999974,0.10999999999999943,-0.09999999999999964
1761056530.642145,50.814616120317034,1.5321180555555556,5.53125,5.84375,5.34375,5.75,3.219999999999999,0.11999999999999922,-0.040000000000000924
1761056530.662342,50.845823527003446,1.5407986111111112,5.53125,5.875,5.40625,5.71875,3.1299999999999955,0.08000000000000007,0.0
1761056530.682079,50.87631994134034,1.5451388888888888,5.5,5.8125,5.40625,5.71875,3.1599999999999966,0.019999999999999574,0.0
1761056530.702104,50.90708754232372,1.5451388888888888,5.53125,5.8125,5.375,5.6875,3.1499999999999986,-0.02999999999999936,0.02999999999999936
1761056530.722175,50.93801258959716,1.5364583333333333,5.53125,5.84375,5.40625,5.6875,3.1299999999999955,-0.07000000000000028,-0.07000000000000028
1761056530.742085,50.9688628702943,1.5407986111111112,5.5,5.8125,5.4375,5.71875,3.1199999999999974,-0.10999999999999943,0.0
1761056530.76213,50.999922245327085,1.5494791666666665,5.53125,5.8125,5.4375,5.71875,3.030000000000001,-0.08999999999999986,0.0
1761056530.782109,51.03087928973978,1.5494791666666665,5.53125,5.8125,5.4375,5.71875,2.8699999999999974,-0.17999999999999972,0.009999999999999787
1761056530.802154,51.06202566582307,1.5494791666666665,5.5625,5.78125,5.4375,5.75,2.710000000000001,-0.20000000000000107,0.049999999999998934
1761056530.822169,51.093125364018924,1.5538194444444444,5.5625,5.8125,5.46875,5.71875,2.5799999999999983,-0.15000000000000036,0.009999999999999787
1761056530.842193,51.12415186026041,1.5538194444444444,5.46875,5.84375,5.40625,5.75,2.3599999999999994,-0.13000000000000078,0.02999999999999936
1761056530.862071,51.1548663613698,1.5494791666666665,5.5,5.75,5.375,5.75,2.25,-0.09999999999999964,0.07000000000000028
1761056530.882085,51.18570397814953,1.5451388888888888,5.5625,5.75,5.40625,5.6875,2.1899999999999977,-0.08000000000000007,0.0
1761056530.902204,51.21652858745731,1.5407986111111112,5.5,5.75,5.34375,5.6875,2.1400000000000006,-0.019999999999999574,0.0
1761056530.92211,51.24694059913367,1.5321180555555556,5.53125,5.75,5.3125,5.6875,2.030000000000001,-0.0600000000000005,-0.07000000000000028
1761056530.942333,51.27801224589358,1.5277777777777777,5.5625,5.71875,5.40625,5.65625,2.0700000000000003,-0.07000000000000028,-0.16000000000000014
1761056530.962114,51.30857681234688,1.5364583333333333,5.53125,5.71875,5.53125,5.59375,2.030000000000001,-0.16000000000000014,-0.08000000000000007
1761056530.982099,51.33945635209491,1.5451388888888888,5.53125,5.71875,5.5625,5.5625,1.9199999999999946,-0.22000000000000064,-0.0600000000000005
1761056531.002121,51.370132290240896,1.5451388888888888,5.53125,5.6875,5.5,5.53125,1.7899999999999991,-0.21000000000000085,0.009999999999999787
1761056531.022093,51.40073188373623,1.5321180555555556,5.53125,5.6875,5.53125,5.5,1.6099999999999994,-0.23000000000000043,0.0
1761056531.042154,51.431641869454026,1.5321180555555556,5.53125,5.71875,5.59375,5.5,1.3200000000000003,-0.21000000000000085,0.0
1761056531.062136,51.46251662013442,1.5407986111111112,5.5625,5.6875,5.59375,5.53125,1.0499999999999972,-0.20000000000000107,0.019999999999999574
1761056531.082113,51.493730827545235,1.5451388888888888,5.5625,5.65625,5.65625,5.59375,0.7999999999999972,-0.08000000000000007,0.09999999999999964
