timestamp,message_interval_ms,angle_deg,can_id,raw_data_hex,bus_load_estimate
1761218115.448178,9.586095809936523,-185.10000000000002,688,C5F81C0737,100.0
1761218115.468662,10.271072387695312,-187.4,688,AEF81C0709,100.0
1761218115.48821,9.604930877685547,-189.70000000000002,688,97F81C078B,100.0
1761218115.508447,9.903907775878906,-191.9,688,81F81C079D,100.0
1761218115.528172,9.588003158569336,-194.20000000000002,688,6AF81C07EF,100.0
1761218115.548234,9.63902473449707,-196.20000000000002,688,56F81B0781,100.0
1761218115.568224,9.672880172729492,-198.20000000000002,688,42F81A07E3,100.0
1761218115.58823,9.614944458007812,-200.5,688,2BF81B0765,100.0
1761218115.60823,9.608030319213867,-202.60000000000002,688,16F81B07A7,100.0
1761218115.628143,9.510040283203125,-204.8,688,00F81A0729,100.0
1761218115.648232,9.638071060180664,-206.9,688,EBF71B07BB,100.0
